//======================================
// NORMAL DROP
//======================================

0
//EventName  DropZen  ItemDropRate  ItemDropCount  ItemDropType  Fireworks
"EventName"  1000  100  1  1  0
end

1
//Item  MinLvl  MaxLvl  Skill  Luck  Opt  Exce  Comment
end

//======================================
//ADVANCED DROP
//======================================

2
//Index  DropRate
0  10000
end

3
//Index  Section  SectionRate  MoneyAmount  OptionValue  DW  DK  FE  MG
0  4  5000  0  0  1  1  1  1
0  99  5000  20000  0  1  1  1  1
end

4
//ItemType  ItemIndex  ItemLevel  ItemGrade  LevelRate  SkillRate  LuckRate  OptionRate  ExcellentRate  Comment
0  0  0  0  24  5  7  13  5  //Kris
0  1  0  0  24  5  7  13  5  //Short Sword
0  2  0  0  24  5  7  13  5  //Rapier
0  4  0  0  24  5  7  13  5  //Sword of Assassin
1  0  0  0  24  5  7  13  5  //Small Axe
5  0  0  0  24  5  7  13  5  //Skull Staff
5  1  0  0  24  5  7  13  5  //Angelic Staff
5  2  0  0  24  5  7  13  5  //Serpent Staff
5  3  0  0  24  5  7  13  5  //Thunder Staff
5  4  0  0  24  5  7  13  5  //Gorgon Staff
5  6  0  0  24  5  7  13  5  //Staff of Resurrection
5  8  0  0  24  5  7  13  5  //Staff of Destruction
5  10  0  0  24  5  7  13  5  //Divine Staff of Archangel
7  2  0  0  24  5  7  13  5  //Pad Helm
7  4  0  0  24  5  7  13  5  //Bone Helm
7  7  0  0  24  5  7  13  5  //Sphinx Helm
7  10  0  0  24  5  7  13  5  //Vine Helm
8  2  0  0  24  5  7  13  5  //Pad Armor
8  4  0  0  24  5  7  13  5  //Bone Armor
8  7  0  0  24  5  7  13  5  //Sphinx Armor
8  10  0  0  24  5  7  13  5  //Vine Armor
9  2  0  0  24  5  7  13  5  //Pad Pants
9  4  0  0  24  5  7  13  5  //Bone Pants
9  7  0  0  24  5  7  13  5  //Sphinx Pants
9  10  0  0  24  5  7  13  5  //Vine Pants
10  2  0  0  24  5  7  13  5  //Pad Gloves
10  4  0  0  24  5  7  13  5  //Bone Gloves
10  7  0  0  24  5  7  13  5  //Sphinx Gloves
10  10  0  0  24  5  7  13  5  //Vine Gloves
11  2  0  0  24  5  7  13  5  //Pad Boots
11  4  0  0  24  5  7  13  5  //Bone Boots
11  7  0  0  24  5  7  13  5  //Sphinx Boots
11  10  0  0  24  5  7  13  5  //Vine Boots
0  3  0  0  24  5  7  13  5  //Katana
0  5  0  0  24  5  7  13  5  //Blade
0  10  0  0  24  5  7  13  5  //Light Saber
0  13  0  0  24  5  7  13  5  //Double Blade
0  14  0  0  24  5  7  13  5  //Lightning Sword
1  1  0  0  24  5  7  13  5  //Hand Axe
1  2  0  0  24  5  7  13  5  //Double Axe
1  3  0  0  24  5  7  13  5  //Tomahawk
1  4  0  0  24  5  7  13  5  //Elven Axe
1  8  0  0  24  5  7  13  5  //Crescent Axe
2  0  0  0  24  5  7  13  5  //Mace
2  1  0  0  24  5  7  13  5  //Morning Star
2  2  0  0  24  5  7  13  5  //Flail
3  0  0  0  24  5  7  13  5  //Light Spear
3  1  0  0  24  5  7  13  5  //Spear
3  3  0  0  24  5  7  13  5  //Giant Trident
3  4  0  0  24  5  7  13  5  //Serpent Spear
3  5  0  0  24  5  7  13  5  //Double Poleaxe
3  6  0  0  24  5  7  13  5  //Halberd
3  7  0  0  24  5  7  13  5  //Berdysh
3  8  0  0  24  5  7  13  5  //Great Scythe
3  9  0  0  24  5  7  13  5  //Bill of Balrog
4  0  0  0  24  5  7  13  5  //Short Bow
4  1  0  0  24  5  7  13  5  //Bow
4  2  0  0  24  5  7  13  5  //Elven Bow
