//======================================
// NORMAL DROP
//======================================

0
//EventName  DropZen  ItemDropRate  ItemDropCount  ItemDropType  Fireworks
"EventName"  1000  100  1  1  0
end

1
//Item  MinLvl  MaxLvl  Skill  Luck  Opt  Exce  Comment
end

//======================================
//ADVANCED DROP
//======================================

2
//Index  DropRate
0  10000
end

3
//Index  Section  SectionRate  MoneyAmount  OptionValue  DW  DK  FE  MG
0  4  5000  0  0  1  1  1  1
0  99  5000  50000  0  1  1  1  1
end

4
//ItemType  ItemIndex  ItemLevel  ItemGrade  LevelRate  SkillRate  LuckRate  OptionRate  ExcellentRate  Comment
0  11  0  0  24  5  7  13  5  //Legendary Sword
3  2  0  0  24  5  7  13  5  //Dragon Lance
5  5  0  0  24  5  7  13  5  //Legendary Staff
6  5  0  0  24  5  7  13  5  //Dragon Slayer Shield
6  13  0  0  24  5  7  13  5  //Dragon Shield
6  14  0  0  24  5  7  13  5  //Legendary Shield
7  1  0  0  24  5  7  13  5  //Dragon Helm
7  3  0  0  24  5  7  13  5  //Legendary Helm
7  12  0  0  24  5  7  13  5  //Wind Helm
7  14  0  0  24  5  7  13  5  //Guardian Helm
7  16  0  0  24  5  7  13  5  //Black Dragon Helm
8  1  0  0  24  5  7  13  5  //Dragon Armor
8  3  0  0  24  5  7  13  5  //Legendary Armor
8  12  0  0  24  5  7  13  5  //Wind Armor
8  14  0  0  24  5  7  13  5  //Guardian Armor
8  16  0  0  24  5  7  13  5  //Black Dragon Armor
9  1  0  0  24  5  7  13  5  //Dragon Pants
9  3  0  0  24  5  7  13  5  //Legendary Pants
9  12  0  0  24  5  7  13  5  //Wind Pants
9  14  0  0  24  5  7  13  5  //Guardian Pants
9  16  0  0  24  5  7  13  5  //Black Dragon Pants
10  1  0  0  24  5  7  13  5  //Dragon Gloves
10  3  0  0  24  5  7  13  5  //Legendary Gloves
10  12  0  0  24  5  7  13  5  //Wind Gloves
10  14  0  0  24  5  7  13  5  //Guardian Gloves
10  16  0  0  24  5  7  13  5  //Black Dragon Gloves
11  1  0  0  24  5  7  13  5  //Dragon Boots
11  3  0  0  24  5  7  13  5  //Legendary Boots
11  12  0  0  24  5  7  13  5  //Wind Boots
11  14  0  0  24  5  7  13  5  //Guardian Boots
11  16  0  0  24  5  7  13  5  //Black Dragon Boots
end

